task_id,ngo_name,required_skill,urgency,timestamp,hour_of_day,lat,lon
TASK_026,"Travis, Hernandez and Farmer",Nurse,5,2026-03-24 22:09:29,22,28.590423,77.300077
TASK_027,Shaw-Zuniga,Translation,3,2026-04-12 14:04:04,14,28.534269,77.268446
TASK_028,"Mays, Barron and Matthews",Teaching,3,2026-03-30 17:43:43,17,28.695243,77.307178
TASK_029,Dillon Group,Heavy Lifting,4,2026-03-25 13:46:43,13,28.588887,77.191906
TASK_030,Alvarado Group,Child Care,3,2026-04-10 13:53:52,13,28.51894,77.2932
TASK_031,Lee-Dunn,Social Media,2,2026-04-05 11:13:20,11,28.595005,77.159057
TASK_032,Beasley Ltd,Shelter Management,4,2026-04-09 16:26:49,16,28.581065,77.219308
TASK_033,"Taylor, Little and Tate",First Aid,5,2026-03-24 19:36:25,19,28.593461,77.289004
TASK_034,Graham-Phillips,Event Setup,1,2026-03-30 13:27:26,13,28.607473,77.307451
TASK_035,Doyle-Miller,IT Support,2,2026-03-31 09:26:41,9,28.583154,77.219319
TASK_036,"Schwartz, Thornton and Clark",Shelter Management,4,2026-04-07 15:41:01,15,28.70199,77.271384
TASK_037,Rogers PLC,Shelter Management,4,2026-03-24 09:51:37,9,28.695819,77.212702
TASK_038,"Garcia, Horton and Simon",Accounting,2,2026-04-05 14:40:26,14,28.580472,77.11164
TASK_039,Reed-Warner,First Aid,5,2026-04-15 17:55:57,17,28.54868,77.302288
TASK_040,Bates-Nunez,Child Care,3,2026-04-14 10:18:25,10,28.686565,77.244731
TASK_041,Reyes-Long,Cooking,1,2026-04-20 17:38:08,17,28.699523,77.270709
TASK_042,Lopez-Sanford,Cooking,1,2026-04-21 14:02:24,14,28.575606,77.296515
TASK_043,Perez-Jackson,Trauma Care,5,2026-03-28 19:50:43,19,28.623071,77.253022
TASK_044,Miller LLC,Cleaning,1,2026-04-19 12:39:42,12,28.602652,77.138085
TASK_045,"Gross, Bryant and Holloway",Heavy Lifting,4,2026-04-15 15:21:46,15,28.609086,77.228331
TASK_046,Bernard PLC,Data Entry,2,2026-04-21 15:12:04,15,28.635843,77.280449
TASK_047,Chapman-Richmond,Surgeon,5,2026-04-06 08:35:01,8,28.604792,77.302006
TASK_048,Graham PLC,Teaching,3,2026-04-17 11:46:52,11,28.627841,77.162941
TASK_049,"Jones, Liu and Gonzalez",Child Care,3,2026-03-24 14:25:53,14,28.523247,77.253844
TASK_050,Wilson-Rodriguez,Gardening,1,2026-04-08 15:43:17,15,28.536273,77.300428
TASK_051,"Allen, Hanson and Rice",Accounting,2,2026-04-16 11:47:32,11,28.604391,77.295691
TASK_052,Harris Ltd,Search & Rescue,4,2026-04-07 01:55:59,1,28.523797,77.168754
TASK_053,"Leonard, Robinson and Stafford",Cleaning,1,2026-04-12 14:15:10,14,28.554408,77.168275
TASK_054,Jones and Sons,Gardening,1,2026-04-12 13:08:53,13,28.620104,77.209645
TASK_055,Brooks-Smith,Child Care,3,2026-04-05 15:34:16,15,28.713108,77.207654
TASK_056,Jones-Hansen,Heavy Lifting,4,2026-03-31 16:53:25,16,28.573499,77.226323
TASK_057,"Rodriguez, Barrera and Osborn",Cleaning,1,2026-04-01 12:15:36,12,28.649079,77.109472
TASK_058,Carter Ltd,Surgeon,5,2026-03-25 02:29:16,2,28.516784,77.155871
TASK_059,"Montoya, Cruz and Wright",Nurse,5,2026-04-12 05:50:40,5,28.659544,77.169186
TASK_060,Banks-Rivera,Gardening,1,2026-04-08 13:18:59,13,28.626394,77.192477
TASK_061,Johnson Ltd,Child Care,3,2026-04-01 17:17:42,17,28.582159,77.134188
TASK_062,Wagner Group,Gardening,1,2026-03-30 16:20:15,16,28.532346,77.147912
TASK_063,Smith-Ball,Accounting,2,2026-03-25 13:03:12,13,28.660799,77.165627
TASK_064,Jones PLC,Heavy Lifting,4,2026-03-28 15:19:30,15,28.547784,77.268277
TASK_065,Grant-Johnson,Search & Rescue,4,2026-03-31 04:37:53,4,28.685569,77.139808
TASK_066,Ochoa-Morton,Nurse,5,2026-03-31 22:44:26,22,28.548536,77.170188
TASK_067,Bullock LLC,Accounting,2,2026-04-03 11:50:34,11,28.606782,77.281385
TASK_068,Hebert and Sons,Teaching,3,2026-04-20 14:14:29,14,28.614604,77.1127
TASK_069,"Pope, Parker and Rodriguez",Accounting,2,2026-04-14 17:20:15,17,28.654933,77.288443
TASK_070,"Douglas, Pacheco and Mann",Search & Rescue,4,2026-03-23 23:25:34,23,28.51792,77.218319
TASK_071,Stout-Shaw,Cooking,1,2026-04-17 16:08:10,16,28.557783,77.175124
TASK_072,Shaw-Wade,IT Support,2,2026-03-25 15:28:22,15,28.519293,77.154672
TASK_073,Porter-Mcconnell,Gardening,1,2026-03-27 15:27:52,15,28.641613,77.136486
TASK_074,Hopkins Group,EMT,5,2026-04-14 03:14:41,3,28.603876,77.11196
TASK_075,Lambert-Gross,Mentoring,3,2026-04-16 13:17:44,13,28.522383,77.135687
TASK_076,Farrell LLC,Cooking,1,2026-04-19 17:47:08,17,28.539807,77.194365
TASK_077,Hamilton-Wagner,Heavy Lifting,4,2026-04-10 15:18:23,15,28.616868,77.148192
TASK_078,Turner LLC,Social Media,2,2026-04-09 14:54:07,14,28.576206,77.276369
TASK_079,Raymond Inc,Social Media,2,2026-04-20 17:38:51,17,28.599673,77.113641
TASK_080,Martinez LLC,First Aid,5,2026-04-19 04:49:22,4,28.612144,77.237736
TASK_081,Parker Inc,Nurse,5,2026-03-30 01:58:31,1,28.689642,77.236768
TASK_082,"Jefferson, Bell and Warner",Accounting,2,2026-04-22 13:04:43,13,28.521395,77.13654
TASK_083,"Thompson, Peterson and Jones",IT Support,2,2026-03-31 15:29:18,15,28.597019,77.151913
TASK_084,Jenkins and Sons,Heavy Lifting,4,2026-03-28 16:13:59,16,28.515946,77.283274
TASK_085,"Garza, Walker and Roberts",Search & Rescue,4,2026-04-13 20:33:59,20,28.612074,77.199076
TASK_086,Jenkins-Wood,First Aid,5,2026-03-30 08:05:06,8,28.707811,77.228683
TASK_087,Martinez LLC,Heavy Lifting,4,2026-04-01 11:08:45,11,28.578991,77.24282
TASK_088,Lewis-Frazier,Shelter Management,4,2026-04-21 11:46:46,11,28.574821,77.279093
TASK_089,"Mitchell, Tyler and Reese",Translation,3,2026-04-07 10:19:33,10,28.590054,77.145608
TASK_090,Morrow-Rice,Child Care,3,2026-04-04 15:45:46,15,28.699341,77.200244
TASK_091,Thomas-Gonzales,Search & Rescue,4,2026-04-15 17:48:42,17,28.621125,77.202871
TASK_092,Howard PLC,Logistics,4,2026-03-26 17:07:26,17,28.534468,77.160021
TASK_093,Craig-Dean,Search & Rescue,4,2026-03-30 04:51:44,4,28.5554,77.26323
TASK_094,Nguyen-Davidson,Search & Rescue,4,2026-04-07 03:57:23,3,28.603927,77.133979
TASK_095,Wilson Ltd,EMT,5,2026-04-13 14:40:05,14,28.693949,77.208528
TASK_096,"Higgins, Powell and Hill",Nurse,5,2026-04-16 01:08:07,1,28.593838,77.220046
TASK_097,Jones Group,Social Media,2,2026-04-02 12:28:49,12,28.704421,77.16904
TASK_098,Ochoa-Freeman,Logistics,4,2026-03-30 16:29:10,16,28.588813,77.205156
TASK_099,Thompson-Brewer,Cooking,1,2026-03-29 11:39:05,11,28.711761,77.28567
TASK_100,"Jackson, Spears and Walker",Child Care,3,2026-04-07 11:00:06,11,28.687055,77.13845
TASK_101,Patel-Padilla,Gardening,1,2026-03-26 15:30:06,15,28.562778,77.26665
TASK_102,"Holland, Gomez and Hayes",First Aid,5,2026-04-16 18:35:27,18,28.68981,77.285948
TASK_103,Mclaughlin Inc,Accounting,2,2026-04-09 14:33:09,14,28.599859,77.172622
TASK_104,Bates-Lane,Data Entry,2,2026-04-07 14:12:00,14,28.581587,77.230984
TASK_105,"Reyes, Peterson and Cannon",EMT,5,2026-04-21 09:48:00,9,28.596083,77.134443
TASK_106,"Jones, Carter and Wilson",Child Care,3,2026-03-25 16:19:50,16,28.602491,77.207248
TASK_107,Smith PLC,Heavy Lifting,4,2026-03-23 09:08:02,9,28.547941,77.113198
TASK_108,"Matthews, Coffey and Jacobson",Search & Rescue,4,2026-04-17 14:59:36,14,28.563315,77.248927
TASK_109,Weber-Martinez,Data Entry,2,2026-04-14 13:32:37,13,28.688534,77.2009
TASK_110,Robinson Ltd,Heavy Lifting,4,2026-04-20 17:05:59,17,28.641732,77.295919
TASK_111,Hester Inc,Gardening,1,2026-04-20 10:15:29,10,28.620492,77.200276
TASK_112,Hendricks Inc,Cooking,1,2026-04-14 14:27:15,14,28.553516,77.145047
TASK_113,Clements-Alvarez,Shelter Management,4,2026-04-17 16:28:29,16,28.591374,77.196726
TASK_114,Fleming Ltd,Nurse,5,2026-03-31 00:16:37,0,28.54119,77.286802
TASK_115,Barnes-Shah,Surgeon,5,2026-04-08 09:41:58,9,28.606815,77.28126
TASK_116,Green-Ford,Search & Rescue,4,2026-04-14 09:41:05,9,28.557462,77.181872
TASK_117,"Hunter, Bridges and Wyatt",Heavy Lifting,4,2026-03-28 16:02:16,16,28.568308,77.183689
TASK_118,Espinoza-Garcia,Teaching,3,2026-04-14 12:39:14,12,28.684717,77.148647
TASK_119,Ford Inc,Search & Rescue,4,2026-04-18 12:21:18,12,28.54075,77.308354
TASK_120,Lyons PLC,IT Support,2,2026-03-26 12:40:59,12,28.590933,77.209655
TASK_121,James PLC,Nurse,5,2026-04-02 02:04:55,2,28.622629,77.221014
TASK_122,"Snyder, Jones and Steele",Logistics,4,2026-04-08 10:51:38,10,28.554138,77.295359
TASK_123,"Peterson, Rodriguez and Campbell",Heavy Lifting,4,2026-04-12 10:49:55,10,28.643882,77.135027
TASK_124,Serrano and Sons,Social Media,2,2026-04-20 15:16:35,15,28.570736,77.206281
TASK_125,Davis and Sons,Cleaning,1,2026-04-07 14:37:28,14,28.619586,77.199945
TASK_126,Stephens PLC,Data Entry,2,2026-04-17 12:33:18,12,28.684947,77.200587
TASK_127,Ferguson and Sons,Mentoring,3,2026-03-25 13:05:43,13,28.633029,77.297099
TASK_128,Brown-Hoover,Accounting,2,2026-04-04 11:03:57,11,28.701063,77.294146
TASK_129,"Henson, Moody and Fitzpatrick",Nurse,5,2026-03-26 06:38:23,6,28.520533,77.111865
TASK_130,Ortiz-Phillips,Surgeon,5,2026-04-03 13:35:26,13,28.57354,77.268527
TASK_131,"Gomez, Rice and Davis",Shelter Management,4,2026-03-29 15:46:34,15,28.67352,77.303568
TASK_132,"Nash, Mccoy and Nelson",Gardening,1,2026-03-28 15:39:52,15,28.629194,77.299435
TASK_133,"Greene, Green and May",Gardening,1,2026-03-28 17:59:03,17,28.613431,77.297365
TASK_134,Vargas-Campos,IT Support,2,2026-04-08 12:56:33,12,28.527399,77.278421
TASK_135,Spencer Ltd,Translation,3,2026-04-16 15:15:36,15,28.676712,77.195563
TASK_136,"Rodriguez, Sanchez and Hill",EMT,5,2026-03-30 21:43:26,21,28.604512,77.19859
TASK_137,Brewer-Thomas,Data Entry,2,2026-04-03 17:11:19,17,28.559749,77.149031
TASK_138,"Sullivan, Moody and White",Trauma Care,5,2026-03-26 02:16:39,2,28.675348,77.238658
TASK_139,Lewis-Guerrero,First Aid,5,2026-04-04 09:09:06,9,28.619797,77.297118
TASK_140,Silva PLC,Social Media,2,2026-04-11 17:35:22,17,28.527242,77.228329
TASK_141,Chapman-Clark,Translation,3,2026-04-20 10:04:46,10,28.621837,77.239077
TASK_142,Harris-Mclaughlin,Social Media,2,2026-03-24 09:23:46,9,28.599889,77.24901
TASK_143,White-Fletcher,Social Media,2,2026-04-19 09:15:28,9,28.542378,77.288927
TASK_144,Key and Sons,Social Media,2,2026-03-24 13:29:50,13,28.685735,77.157926
TASK_145,Patton and Sons,Social Media,2,2026-04-16 14:19:02,14,28.624604,77.28187
TASK_146,Reid Group,Gardening,1,2026-03-30 16:43:32,16,28.59342,77.296583
TASK_147,Harvey LLC,Gardening,1,2026-04-17 11:41:33,11,28.657748,77.176671
TASK_148,Anderson Inc,Data Entry,2,2026-04-02 17:00:15,17,28.599923,77.193945
TASK_149,Bradford-Stanley,Cooking,1,2026-04-08 11:17:23,11,28.612289,77.254064
TASK_150,"Steele, Lopez and Taylor",Accounting,2,2026-04-11 14:17:02,14,28.633109,77.109633
TASK_151,Johnson and Sons,Data Entry,2,2026-04-18 10:41:28,10,28.63185,77.147262
TASK_152,Hanna-Hall,Surgeon,5,2026-04-18 06:43:45,6,28.674311,77.272435
TASK_153,"Wilson, Burke and Thomas",Heavy Lifting,4,2026-03-26 09:44:44,9,28.553196,77.164018
TASK_154,"Jimenez, Evans and Randall",Logistics,4,2026-04-01 14:50:49,14,28.568774,77.272444
TASK_155,"Evans, Roberts and Hamilton",Nurse,5,2026-04-15 18:50:23,18,28.622756,77.262125
TASK_156,"Torres, Meyer and Kennedy",Logistics,4,2026-03-31 10:50:57,10,28.566151,77.228314
TASK_157,"Lee, Martin and Gordon",Mentoring,3,2026-04-05 11:54:23,11,28.626517,77.11047
TASK_158,"Meyer, Brown and Duncan",Child Care,3,2026-03-26 09:18:14,9,28.608687,77.261863
TASK_159,Warren Ltd,Event Setup,1,2026-04-19 11:09:12,11,28.624898,77.158372
TASK_160,"Diaz, Franklin and Barnes",Social Media,2,2026-03-28 12:41:52,12,28.555262,77.293167
TASK_161,Sanchez-Anderson,Social Media,2,2026-04-03 13:10:00,13,28.633946,77.295025
TASK_162,Ruiz-Johnson,IT Support,2,2026-04-21 14:12:00,14,28.641339,77.208685
TASK_163,Blanchard Inc,Cleaning,1,2026-04-21 10:24:13,10,28.637718,77.141254
TASK_164,Smith-Munoz,IT Support,2,2026-04-05 17:41:01,17,28.639021,77.149757
TASK_165,"Butler, Cervantes and Fowler",Cleaning,1,2026-04-17 09:22:28,9,28.633669,77.236896
TASK_166,Patel-Campbell,Trauma Care,5,2026-04-14 12:21:54,12,28.567649,77.289721
TASK_167,"Molina, Brock and Graham",EMT,5,2026-03-28 04:58:45,4,28.664407,77.211726
TASK_168,Crawford LLC,Data Entry,2,2026-04-13 15:53:33,15,28.639058,77.276715
TASK_169,Glenn-Long,Cleaning,1,2026-03-27 15:42:14,15,28.681769,77.295922
TASK_170,"Lopez, Chen and Lin",Teaching,3,2026-04-05 14:43:58,14,28.534687,77.290571
TASK_171,Blanchard-Nash,Data Entry,2,2026-04-22 10:29:10,10,28.614039,77.271174
TASK_172,Nichols and Sons,Mentoring,3,2026-03-30 12:15:40,12,28.535156,77.275297
TASK_173,"Montoya, Payne and Garcia",IT Support,2,2026-04-02 10:53:31,10,28.651334,77.130381
TASK_174,Jones-Saunders,Social Media,2,2026-04-21 10:29:49,10,28.623229,77.120769
TASK_175,Vance LLC,Surgeon,5,2026-04-19 16:29:56,16,28.693013,77.179373
TASK_176,Donaldson Group,Search & Rescue,4,2026-03-30 01:07:11,1,28.611268,77.170377
TASK_177,Burton Group,IT Support,2,2026-04-16 10:13:20,10,28.593423,77.251367
TASK_178,Nelson Inc,Teaching,3,2026-03-27 16:40:28,16,28.525719,77.132088
TASK_179,"Day, Hernandez and Henry",Gardening,1,2026-03-24 13:31:29,13,28.637952,77.27853
TASK_180,Harrington-Nguyen,Translation,3,2026-04-22 17:31:34,17,28.672592,77.296083
TASK_181,Casey PLC,Search & Rescue,4,2026-04-05 08:08:39,8,28.537347,77.19857
TASK_182,Adams-Armstrong,Search & Rescue,4,2026-03-24 18:25:37,18,28.643398,77.117058
TASK_183,"Conway, Brooks and Johnston",Gardening,1,2026-04-15 14:47:22,14,28.692413,77.210966
TASK_184,"Hoffman, Armstrong and Harris",EMT,5,2026-04-10 11:07:43,11,28.646952,77.136913
TASK_185,Camacho-Long,Surgeon,5,2026-04-07 20:15:04,20,28.656443,77.223552
TASK_186,Leon-Gomez,IT Support,2,2026-04-14 14:35:41,14,28.575813,77.158115
TASK_187,"Wheeler, Roman and Anderson",Translation,3,2026-04-18 12:58:03,12,28.545717,77.220136
TASK_188,"Richardson, Dean and Wright",Nurse,5,2026-04-02 09:54:02,9,28.632131,77.115973
TASK_189,"Thompson, Hamilton and Chen",Logistics,4,2026-04-17 15:36:22,15,28.664903,77.135274
TASK_190,Fleming PLC,Heavy Lifting,4,2026-03-26 12:57:55,12,28.665535,77.247391
TASK_191,Perez Inc,IT Support,2,2026-04-09 09:09:25,9,28.668773,77.261196
TASK_192,Moreno Group,Logistics,4,2026-04-19 10:48:55,10,28.587465,77.209691
TASK_193,"Ortiz, Silva and Nelson",Event Setup,1,2026-03-28 11:40:13,11,28.604207,77.275241
TASK_194,Smith Inc,First Aid,5,2026-04-21 01:50:26,1,28.625946,77.157872
TASK_195,"Zimmerman, Le and Carter",Trauma Care,5,2026-04-14 14:40:47,14,28.596084,77.118242
TASK_196,Newton-Webster,Nurse,5,2026-04-09 19:57:03,19,28.617919,77.281562
TASK_197,Herring LLC,Child Care,3,2026-04-18 16:35:47,16,28.59049,77.19983
TASK_198,King-Rodriguez,Event Setup,1,2026-04-14 10:13:34,10,28.625883,77.284854
TASK_199,Miller PLC,Social Media,2,2026-04-21 10:44:50,10,28.55324,77.258887
